timestamp,flow_key,pkt_count,byte_count,duration_s,avg_pkt_size,avg_iat_ms,max_iat_ms
1776232270.079646,"('108.177.122.188', '172.20.211.225', 5228, 53040, 6)",1,66,0.0,66.0,0.0,0
1776232270.079646,"('172.20.211.225', '128.192.0.0', 57552, 53, 17)",1,81,0.0,81.0,0.0,0
1776232270.079646,"('172.20.211.225', '128.192.0.0', 53095, 53, 17)",1,81,0.0,81.0,0.0,0
1776232270.079646,"('128.192.0.0', '172.20.211.225', 53, 57552, 17)",1,141,0.0,141.0,0.0,0
1776232270.079646,"('128.192.0.0', '172.20.211.225', 53, 53095, 17)",1,355,0.0,355.0,0.0,0
1776232270.079646,"('172.20.211.225', '172.217.215.94', 62782, 443, 17)",11,6921,0.0516,629.18,5.16,51.63
1776232270.079646,"('172.217.215.94', '172.20.211.225', 443, 62782, 17)",9,7813,0.0516,868.11,6.45,51.63
1776232270.079646,"('172.20.211.225', '172.217.215.94', 50827, 443, 6)",8,2265,0.1024,283.12,14.63,51.63
1776232270.079646,"('172.217.215.94', '172.20.211.225', 443, 50827, 6)",7,5869,0.1024,838.43,17.06,51.63
1776232270.079646,"('172.20.211.225', '162.247.243.29', 58873, 443, 6)",2,108,0.0005,54.0,0.52,0.52
1776232270.079646,"('172.20.211.225', '64.233.177.95', 52256, 443, 6)",2,108,0.0,54.0,0.0,0.0
1776232270.079646,"('172.20.211.225', '224.0.0.251', 5353, 5353, 17)",2,164,1.0133,82.0,1013.3,1013.3
1776232270.079646,"('64.233.177.95', '172.20.211.225', 443, 52256, 6)",1,60,0.0,60.0,0.0,0
1776232270.079646,"('172.20.211.225', '128.192.0.0', 51158, 53, 17)",1,76,0.0,76.0,0.0,0
1776232270.079646,"('172.20.211.225', '128.192.0.0', 62712, 53, 17)",1,86,0.0,86.0,0.0,0
1776232270.079646,"('172.20.211.225', '128.192.0.0', 50137, 53, 17)",1,86,0.0,86.0,0.0,0
1776232270.079646,"('128.192.0.0', '172.20.211.225', 53, 51158, 17)",1,379,0.0,379.0,0.0,0
1776232270.079646,"('172.20.211.225', '172.217.215.188', 64468, 5228, 6)",8,2480,0.0515,310.0,7.36,51.49
1776232270.079646,"('128.192.0.0', '172.20.211.225', 53, 62712, 17)",1,180,0.0,180.0,0.0,0
1776232270.079646,"('128.192.0.0', '172.20.211.225', 53, 50137, 17)",1,550,0.0,550.0,0.0,0
1776232270.079646,"('172.20.211.225', '142.250.105.100', 55470, 443, 17)",12,5020,0.1039,418.33,9.44,52.37
1776232270.079646,"('172.217.215.188', '172.20.211.225', 5228, 64468, 6)",9,7575,0.0515,841.67,6.44,51.49
1776232270.079646,"('142.250.105.100', '172.20.211.225', 443, 55470, 17)",12,8380,0.1039,698.33,9.44,52.37
1776232270.079646,"('162.247.243.29', '172.20.211.225', 443, 58873, 6)",3,198,0.0,66.0,0.0,0.0
1776232270.079646,"('172.20.211.225', '173.194.219.95', 55380, 443, 6)",1,55,0.0,55.0,0.0,0
1776232270.079646,"('173.194.219.95', '172.20.211.225', 443, 55380, 6)",1,66,0.0,66.0,0.0,0
1776232270.079646,"('172.20.211.225', '216.239.38.223', 55384, 443, 6)",4,1026,0.0515,256.5,17.16,50.94
1776232270.079646,"('216.239.38.223', '172.20.211.225', 443, 55384, 6)",7,662,0.0515,94.57,8.58,50.94
1776232270.079646,"('172.20.211.225', '104.18.13.46', 62077, 80, 6)",4,228,0.0,57.0,0.0,0.0
1776232270.079646,"('104.18.13.46', '172.20.211.225', 80, 62077, 6)",3,186,0.0,62.0,0.0,0.0
1776232275.083779,"('172.20.211.225', '142.251.150.119', 59494, 443, 17)",8,4363,0.8593,545.38,122.76,858.8
1776232275.083779,"('142.251.150.119', '172.20.211.225', 443, 59494, 17)",10,6078,0.8593,607.8,95.48,858.8
1776232275.083779,"('172.20.211.225', '224.0.0.251', 5353, 5353, 17)",1,82,0.0,82.0,0.0,0
1776232275.083779,"('172.20.211.225', '172.20.255.255', 57621, 57621, 17)",1,86,0.0,86.0,0.0,0
1776232275.083779,"('172.20.211.225', '34.54.84.110', 65289, 443, 6)",1,55,0.0,55.0,0.0,0
1776232275.083779,"('34.54.84.110', '172.20.211.225', 443, 65289, 6)",1,66,0.0,66.0,0.0,0
1776232275.083779,"('172.20.211.225', '104.18.28.130', 54466, 443, 6)",2,259,0.1015,129.5,101.54,101.54
1776232275.083779,"('104.18.28.130', '172.20.211.225', 443, 54466, 6)",1,85,0.0,85.0,0.0,0
1776232275.083779,"('172.20.211.225', '128.192.0.0', 51023, 53, 17)",1,95,0.0,95.0,0.0,0
1776232275.083779,"('172.20.211.225', '128.192.0.0', 51984, 53, 17)",1,95,0.0,95.0,0.0,0
1776232275.083779,"('128.192.0.0', '172.20.211.225', 53, 51023, 17)",1,155,0.0,155.0,0.0,0
1776232275.083779,"('128.192.0.0', '172.20.211.225', 53, 51984, 17)",1,417,0.0,417.0,0.0,0
1776232275.083779,"('172.20.211.225', '64.233.177.95', 62191, 443, 17)",13,5726,0.1528,440.46,12.73,102.25
1776232275.083779,"('172.20.211.225', '216.239.38.223', 59115, 443, 6)",12,4832,0.0513,402.67,4.66,51.29
1776232275.083779,"('64.233.177.95', '172.20.211.225', 443, 62191, 17)",15,6307,0.1528,420.47,10.91,51.29
1776232275.083779,"('216.239.38.223', '172.20.211.225', 443, 59115, 6)",14,9627,0.0513,687.64,3.95,51.29
1776232275.083779,"('172.20.211.225', '104.18.13.46', 63254, 80, 6)",4,228,0.0505,57.0,16.84,50.51
1776232275.083779,"('104.18.13.46', '172.20.211.225', 80, 63254, 6)",2,126,0.0505,63.0,50.51,50.51
1776232275.083779,"('172.20.211.225', '128.192.0.0', 63829, 53, 17)",1,81,0.0,81.0,0.0,0
1776232275.083779,"('172.20.211.225', '128.192.0.0', 56509, 53, 17)",1,81,0.0,81.0,0.0,0
1776232275.083779,"('128.192.0.0', '172.20.211.225', 53, 63829, 17)",1,141,0.0,141.0,0.0,0
1776232275.083779,"('128.192.0.0', '172.20.211.225', 53, 56509, 17)",1,355,0.0,355.0,0.0,0
1776232275.083779,"('172.20.211.225', '64.233.177.94', 52731, 443, 6)",12,4100,0.0518,341.67,4.71,51.77
1776232275.083779,"('64.233.177.94', '172.20.211.225', 443, 52731, 6)",13,7490,0.0518,576.15,4.31,50.65
1776232275.083779,"('172.20.211.225', '23.215.58.44', 55408, 443, 6)",1,55,0.0,55.0,0.0,0
1776232275.083779,"('23.215.58.44', '172.20.211.225', 443, 55408, 6)",1,66,0.0,66.0,0.0,0
1776232280.0869143,"('172.20.211.225', '104.71.143.196', 50990, 443, 6)",1,55,0.0,55.0,0.0,0
1776232280.0869143,"('104.71.143.196', '172.20.211.225', 443, 50990, 6)",1,66,0.0,66.0,0.0,0
1776232280.0869143,"('172.20.211.225', '162.254.199.184', 54464, 27018, 6)",1,108,0.0,108.0,0.0,0
1776232280.0869143,"('162.254.199.184', '172.20.211.225', 27018, 54464, 6)",1,60,0.0,60.0,0.0,0
1776232280.0869143,"('172.20.211.225', '35.186.224.38', 63450, 443, 6)",2,151,0.0506,75.5,50.62,50.62
1776232280.0869143,"('35.186.224.38', '172.20.211.225', 443, 63450, 6)",2,154,0.0,77.0,0.0,0.0
1776232280.0869143,"('172.20.211.225', '104.18.13.46', 50232, 80, 6)",4,228,0.0506,57.0,16.88,50.64
1776232280.0869143,"('104.18.13.46', '172.20.211.225', 80, 50232, 6)",2,126,0.0506,63.0,50.64,50.64
1776232280.0869143,"('172.20.211.225', '150.171.31.254', 55685, 443, 6)",1,55,0.0,55.0,0.0,0
1776232280.0869143,"('150.171.31.254', '172.20.211.225', 443, 55685, 6)",1,66,0.0,66.0,0.0,0
1776232280.0869143,"('172.20.211.225', '142.250.105.95', 55379, 443, 6)",1,55,0.0,55.0,0.0,0
1776232280.0869143,"('142.250.105.95', '172.20.211.225', 443, 55379, 6)",1,66,0.0,66.0,0.0,0
1776232280.0869143,"('172.20.211.225', '13.107.3.254', 64584, 443, 6)",1,55,0.0,55.0,0.0,0
1776232280.0869143,"('13.107.3.254', '172.20.211.225', 443, 64584, 6)",1,66,0.0,66.0,0.0,0
1776232280.0869143,"('172.20.211.225', '142.250.105.95', 55378, 443, 6)",1,55,0.0,55.0,0.0,0
